Subscription ID,Duration,Type
3449,4383 days 00:00:00.000000000,Yearly
3451,0 days 00:00:00.000000000,One Off
3455,12053 days 00:00:00.000000000,Yearly
3459,0 days 00:00:00.000000000,One Off
3461,0 days 00:00:00.000000000,One Off
3462,2191 days 00:00:00.000000000,Yearly
3463,9497 days 00:00:00.000000000,Yearly
3467,0 days 00:00:00.000000000,One Off
3469,0 days 00:00:00.000000000,One Off
3474,37 days 00:00:00.000000000,Daily
3475,44 days 00:00:00.000000000,Daily
3477,27 days 00:00:00.000000000,Daily
3479,1950 days 00:00:00.000000000,Monthly
3480,701 days 00:00:00.000000000,Monthly
3481,2404 days 00:00:00.000000000,Monthly
3484,15341 days 00:00:00.000000000,Yearly
3485,4748 days 00:00:00.000000000,Yearly
3486,8401 days 00:00:00.000000000,Yearly
3488,0 days 00:00:00.000000000,One Off
3490,884 days 00:00:00.000000000,Monthly
3491,395 days 00:00:00.000000000,Monthly
3498,3 days 00:00:00.000000000,Daily
3499,243 days 00:00:00.000000000,Monthly
3502,1185 days 00:00:00.000000000,Monthly
3503,38 days 00:00:00.000000000,Daily
3504,0 days 00:00:00.000000000,One Off
3505,2191 days 00:00:00.000000000,Yearly
3506,762 days 00:00:00.000000000,Monthly
3510,1826 days 00:00:00.000000000,Monthly
3511,8036 days 00:00:00.000000000,Yearly
3512,52 days 00:00:00.000000000,Daily
3513,4383 days 00:00:00.000000000,Yearly
3516,0 days 00:00:00.000000000,One Off
3522,0 days 00:00:00.000000000,One Off
3524,0 days 00:00:00.000000000,One Off
3525,0 days 00:00:00.000000000,One Off
3527,10592 days 00:00:00.000000000,Yearly
3531,5844 days 00:00:00.000000000,Yearly
3532,0 days 00:00:00.000000000,One Off
3534,39 days 00:00:00.000000000,Daily
3539,0 days 00:00:00.000000000,One Off
3540,2192 days 00:00:00.000000000,Yearly
3541,14245 days 00:00:00.000000000,Yearly
3542,2587 days 00:00:00.000000000,Monthly
3544,730 days 00:00:00.000000000,Monthly
3546,31 days 00:00:00.000000000,Daily
3547,2252 days 00:00:00.000000000,Monthly
3549,972 days 00:00:00.000000000,Monthly
3551,14245 days 00:00:00.000000000,Yearly
3552,2557 days 00:00:00.000000000,Yearly
3553,15 days 00:00:00.000000000,Daily
3554,457 days 00:00:00.000000000,Monthly
3555,547 days 00:00:00.000000000,Monthly
3557,426 days 00:00:00.000000000,Monthly
3559,16 days 00:00:00.000000000,Daily
3560,1675 days 00:00:00.000000000,Monthly
3563,11688 days 00:00:00.000000000,Yearly
3564,8766 days 00:00:00.000000000,Yearly
3567,0 days 00:00:00.000000000,One Off
3568,26 days 00:00:00.000000000,Daily
3569,20 days 00:00:00.000000000,Daily
3570,426 days 00:00:00.000000000,Monthly
3571,1065 days 00:00:00.000000000,Monthly
3572,426 days 00:00:00.000000000,Monthly
3573,6940 days 00:00:00.000000000,Yearly
3574,517 days 00:00:00.000000000,Monthly
3575,23 days 00:00:00.000000000,Daily
3576,4017 days 00:00:00.000000000,Yearly
3577,2069 days 00:00:00.000000000,Monthly
3578,0 days 00:00:00.000000000,One Off
3579,49 days 00:00:00.000000000,Daily
3580,2648 days 00:00:00.000000000,Monthly
3582,0 days 00:00:00.000000000,One Off
3584,1003 days 00:00:00.000000000,Monthly
3585,10957 days 00:00:00.000000000,Yearly
3586,24 days 00:00:00.000000000,Daily
3587,14610 days 00:00:00.000000000,Yearly
3588,0 days 00:00:00.000000000,One Off
3590,548 days 00:00:00.000000000,Monthly
3591,2162 days 00:00:00.000000000,Monthly
3592,2283 days 00:00:00.000000000,Monthly
3593,1703 days 00:00:00.000000000,Monthly
3594,36 days 00:00:00.000000000,Daily
3595,335 days 00:00:00.000000000,Monthly
3597,23 days 00:00:00.000000000,Daily
3598,0 days 00:00:00.000000000,One Off
3599,640 days 00:00:00.000000000,Monthly
3601,1219 days 00:00:00.000000000,Monthly
3602,4 days 00:00:00.000000000,Daily
3603,55 days 00:00:00.000000000,Daily
3605,24 days 00:00:00.000000000,Daily
3609,51 days 00:00:00.000000000,Daily
3611,580 days 00:00:00.000000000,Monthly
3612,20 days 00:00:00.000000000,Daily
3614,35 days 00:00:00.000000000,Daily
3618,457 days 00:00:00.000000000,Monthly
3619,1461 days 00:00:00.000000000,Yearly
3622,2406 days 00:00:00.000000000,Monthly
3624,52 days 00:00:00.000000000,Daily
3626,20 days 00:00:00.000000000,Daily
3632,30 days 00:00:00.000000000,Daily
3634,19 days 00:00:00.000000000,Daily
3635,2010 days 00:00:00.000000000,Monthly
3639,92 days 00:00:00.000000000,Monthly
3640,2376 days 00:00:00.000000000,Monthly
3641,0 days 00:00:00.000000000,One Off
3642,36 days 00:00:00.000000000,Daily
3644,6575 days 00:00:00.000000000,Yearly
3645,1126 days 00:00:00.000000000,Monthly
3646,1279 days 00:00:00.000000000,Monthly
3647,1826 days 00:00:00.000000000,Yearly
3650,0 days 00:00:00.000000000,One Off
3651,10958 days 00:00:00.000000000,Yearly
3652,45 days 00:00:00.000000000,Daily
3653,45 days 00:00:00.000000000,Daily
3656,1430 days 00:00:00.000000000,Monthly
3660,3652 days 00:00:00.000000000,Yearly
3665,151 days 00:00:00.000000000,Yearly
3669,12418 days 00:00:00.000000000,Yearly
3670,1461 days 00:00:00.000000000,Yearly
3673,0 days 00:00:00.000000000,One Off
3675,1096 days 00:00:00.000000000,Monthly
3676,2922 days 00:00:00.000000000,Yearly
3680,17 days 00:00:00.000000000,Daily
3681,33 days 00:00:00.000000000,Daily
3685,9496 days 00:00:00.000000000,Yearly
3686,39 days 00:00:00.000000000,Daily
3689,13 days 00:00:00.000000000,Daily
3691,2009 days 00:00:00.000000000,Monthly
3692,45 days 00:00:00.000000000,Daily
3699,50 days 00:00:00.000000000,Daily
3702,1888 days 00:00:00.000000000,Monthly
3703,0 days 00:00:00.000000000,One Off
3707,21 days 00:00:00.000000000,Daily
3709,2618 days 00:00:00.000000000,Monthly
3710,53 days 00:00:00.000000000,Daily
3713,547 days 00:00:00.000000000,Monthly
3714,39 days 00:00:00.000000000,Daily
3717,92 days 00:00:00.000000000,Daily
3718,47 days 00:00:00.000000000,Daily
3719,4018 days 00:00:00.000000000,Yearly
3720,1948 days 00:00:00.000000000,Monthly
3724,1461 days 00:00:00.000000000,Yearly
3726,50 days 00:00:00.000000000,Daily
3727,29 days 00:00:00.000000000,Daily
3728,1249 days 00:00:00.000000000,Monthly
3730,640 days 00:00:00.000000000,Monthly
3732,0 days 00:00:00.000000000,One Off
3735,4018 days 00:00:00.000000000,Yearly
3736,5114 days 00:00:00.000000000,Yearly
3738,1461 days 00:00:00.000000000,Yearly
3739,5114 days 00:00:00.000000000,Yearly
3740,3287 days 00:00:00.000000000,Yearly
3743,35 days 00:00:00.000000000,Daily
3744,44 days 00:00:00.000000000,Daily
3745,1370 days 00:00:00.000000000,Monthly
3746,882 days 00:00:00.000000000,Monthly
3747,0 days 00:00:00.000000000,One Off
3749,0 days 00:00:00.000000000,One Off
3750,8401 days 00:00:00.000000000,Yearly
3751,548 days 00:00:00.000000000,Monthly
3752,2192 days 00:00:00.000000000,Yearly
3753,0 days 00:00:00.000000000,One Off
3754,1612 days 00:00:00.000000000,Monthly
3755,2344 days 00:00:00.000000000,Monthly
3757,1675 days 00:00:00.000000000,Monthly
3761,2131 days 00:00:00.000000000,Monthly
3765,669 days 00:00:00.000000000,Monthly
3767,2192 days 00:00:00.000000000,Yearly
3769,8766 days 00:00:00.000000000,Yearly
3773,1918 days 00:00:00.000000000,Monthly
3774,0 days 00:00:00.000000000,One Off
3776,6940 days 00:00:00.000000000,Yearly
3777,1735 days 00:00:00.000000000,Monthly
3778,1885 days 00:00:00.000000000,Monthly
3780,0 days 00:00:00.000000000,One Off
3782,487 days 00:00:00.000000000,Monthly
3784,0 days 00:00:00.000000000,One Off
3786,761 days 00:00:00.000000000,Monthly
3790,1797 days 00:00:00.000000000,Monthly
3795,123 days 00:00:00.000000000,Monthly
3796,245 days 00:00:00.000000000,Monthly
3798,8 days 00:00:00.000000000,Daily
3800,0 days 00:00:00.000000000,One Off
3801,28 days 00:00:00.000000000,Daily
3804,52 days 00:00:00.000000000,Daily
3807,2222 days 00:00:00.000000000,Monthly
3809,0 days 00:00:00.000000000,One Off
3810,7305 days 00:00:00.000000000,Yearly
3812,334 days 00:00:00.000000000,Monthly
3813,1611 days 00:00:00.000000000,Monthly
3814,1218 days 00:00:00.000000000,Monthly
3816,5844 days 00:00:00.000000000,Yearly
3817,1341 days 00:00:00.000000000,Monthly
3820,6939 days 00:00:00.000000000,Yearly
3822,4 days 00:00:00.000000000,Daily
3823,4383 days 00:00:00.000000000,Yearly
3824,2741 days 00:00:00.000000000,Monthly
3825,1765 days 00:00:00.000000000,Monthly
3826,2100 days 00:00:00.000000000,Monthly
3828,2557 days 00:00:00.000000000,Monthly
3837,9131 days 00:00:00.000000000,Yearly
3838,6209 days 00:00:00.000000000,Yearly
3842,0 days 00:00:00.000000000,One Off
3843,11688 days 00:00:00.000000000,Yearly
3844,1552 days 00:00:00.000000000,Monthly
3845,1553 days 00:00:00.000000000,Monthly
3847,1247 days 00:00:00.000000000,Monthly
3849,30 days 00:00:00.000000000,Daily
3850,0 days 00:00:00.000000000,One Off
3851,1492 days 00:00:00.000000000,Monthly
3853,1034 days 00:00:00.000000000,Monthly
3855,12419 days 00:00:00.000000000,Yearly
3856,53 days 00:00:00.000000000,Daily
3859,9862 days 00:00:00.000000000,Yearly
3861,2191 days 00:00:00.000000000,Yearly
3869,21 days 00:00:00.000000000,Daily
3870,8035 days 00:00:00.000000000,Yearly
3874,26 days 00:00:00.000000000,Daily
3877,974 days 00:00:00.000000000,Monthly
3884,1310 days 00:00:00.000000000,Monthly
3885,945 days 00:00:00.000000000,Monthly
3890,1918 days 00:00:00.000000000,Monthly
3892,9861 days 00:00:00.000000000,Yearly
3895,3652 days 00:00:00.000000000,Yearly
3899,1826 days 00:00:00.000000000,Monthly
3901,15 days 00:00:00.000000000,Daily
3903,22 days 00:00:00.000000000,Daily
3904,2284 days 00:00:00.000000000,Monthly
3907,974 days 00:00:00.000000000,Monthly
3908,9496 days 00:00:00.000000000,Yearly
3911,0 days 00:00:00.000000000,One Off
3912,1277 days 00:00:00.000000000,Monthly
3914,28 days 00:00:00.000000000,Daily
3916,212 days 00:00:00.000000000,Daily
3917,0 days 00:00:00.000000000,One Off
3919,3 days 00:00:00.000000000,Daily
3923,10 days 00:00:00.000000000,Daily
3924,50 days 00:00:00.000000000,Daily
3927,641 days 00:00:00.000000000,Monthly
3928,14 days 00:00:00.000000000,Daily
3929,4383 days 00:00:00.000000000,Yearly
3930,11 days 00:00:00.000000000,Daily
3931,851 days 00:00:00.000000000,Monthly
3933,1247 days 00:00:00.000000000,Monthly
3934,20 days 00:00:00.000000000,Daily
3938,22 days 00:00:00.000000000,Daily
3941,1279 days 00:00:00.000000000,Monthly
3942,2040 days 00:00:00.000000000,Monthly
3947,20 days 00:00:00.000000000,Daily
3951,245 days 00:00:00.000000000,Monthly
3952,0 days 00:00:00.000000000,One Off
3953,669 days 00:00:00.000000000,Monthly
3956,21 days 00:00:00.000000000,Daily
3957,3 days 00:00:00.000000000,Daily
3958,51 days 00:00:00.000000000,Daily
3959,669 days 00:00:00.000000000,Monthly
3960,7305 days 00:00:00.000000000,Yearly
3962,1278 days 00:00:00.000000000,Monthly
3965,4748 days 00:00:00.000000000,Yearly
3969,6575 days 00:00:00.000000000,Yearly
3970,1372 days 00:00:00.000000000,Monthly
3972,30 days 00:00:00.000000000,Daily
3973,5844 days 00:00:00.000000000,Yearly
3974,366 days 00:00:00.000000000,Monthly
3976,5113 days 00:00:00.000000000,Yearly
3977,2465 days 00:00:00.000000000,Monthly
3980,0 days 00:00:00.000000000,One Off
3983,12053 days 00:00:00.000000000,Yearly
3984,9862 days 00:00:00.000000000,Yearly
3985,37 days 00:00:00.000000000,Daily
3988,1826 days 00:00:00.000000000,Yearly
3989,0 days 00:00:00.000000000,One Off
3991,0 days 00:00:00.000000000,One Off
3992,579 days 00:00:00.000000000,Monthly
3993,16 days 00:00:00.000000000,Daily
3997,0 days 00:00:00.000000000,One Off
3998,7671 days 00:00:00.000000000,Yearly
4003,0 days 00:00:00.000000000,One Off
4006,2130 days 00:00:00.000000000,Monthly
4007,1431 days 00:00:00.000000000,Monthly
4009,54 days 00:00:00.000000000,Daily
4011,0 days 00:00:00.000000000,One Off
4014,1369 days 00:00:00.000000000,Monthly
4015,0 days 00:00:00.000000000,One Off
4016,12419 days 00:00:00.000000000,Yearly
4017,2618 days 00:00:00.000000000,Monthly
4018,7670 days 00:00:00.000000000,Yearly
4023,0 days 00:00:00.000000000,One Off
4024,122 days 00:00:00.000000000,One Off
4026,2496 days 00:00:00.000000000,Monthly
4029,1430 days 00:00:00.000000000,Monthly
4031,10958 days 00:00:00.000000000,Yearly
4032,7 days 00:00:00.000000000,Daily
4034,0 days 00:00:00.000000000,One Off
4035,0 days 00:00:00.000000000,One Off
4037,2099 days 00:00:00.000000000,Monthly
4038,1461 days 00:00:00.000000000,Yearly
4040,2222 days 00:00:00.000000000,Monthly
4041,19 days 00:00:00.000000000,Daily
4044,2740 days 00:00:00.000000000,Monthly
4048,52 days 00:00:00.000000000,Daily
4053,50 days 00:00:00.000000000,Daily
4054,123 days 00:00:00.000000000,Daily
4056,1461 days 00:00:00.000000000,Yearly
4057,2922 days 00:00:00.000000000,Yearly
4060,1096 days 00:00:00.000000000,Yearly
4061,31 days 00:00:00.000000000,Daily
4064,0 days 00:00:00.000000000,One Off
4067,5113 days 00:00:00.000000000,Yearly
4068,4383 days 00:00:00.000000000,Yearly
4069,2557 days 00:00:00.000000000,Monthly
4072,5 days 00:00:00.000000000,Daily
4073,822 days 00:00:00.000000000,Monthly
4074,33 days 00:00:00.000000000,Daily
4076,0 days 00:00:00.000000000,One Off
4078,51 days 00:00:00.000000000,Daily
4081,0 days 00:00:00.000000000,One Off
4082,853 days 00:00:00.000000000,Monthly
4083,0 days 00:00:00.000000000,One Off
4084,11323 days 00:00:00.000000000,Yearly
4086,852 days 00:00:00.000000000,Monthly
4087,34 days 00:00:00.000000000,Daily
4090,1461 days 00:00:00.000000000,Yearly
4091,41 days 00:00:00.000000000,Daily
4092,7305 days 00:00:00.000000000,Yearly
4093,15 days 00:00:00.000000000,Daily
4095,2192 days 00:00:00.000000000,Yearly
4098,11688 days 00:00:00.000000000,Yearly
4099,8035 days 00:00:00.000000000,Yearly
4100,4018 days 00:00:00.000000000,Yearly
4101,6575 days 00:00:00.000000000,Yearly
4102,49 days 00:00:00.000000000,Daily
4103,9131 days 00:00:00.000000000,Yearly
4104,0 days 00:00:00.000000000,One Off
4107,33 days 00:00:00.000000000,Daily
4108,0 days 00:00:00.000000000,One Off
4109,1431 days 00:00:00.000000000,Monthly
4110,0 days 00:00:00.000000000,One Off
4111,7305 days 00:00:00.000000000,Yearly
4116,1461 days 00:00:00.000000000,Yearly
4118,1736 days 00:00:00.000000000,Monthly
4121,915 days 00:00:00.000000000,Monthly
4122,53 days 00:00:00.000000000,Daily
4123,365 days 00:00:00.000000000,Monthly
4124,3288 days 00:00:00.000000000,Yearly
4125,2072 days 00:00:00.000000000,Monthly
4126,46 days 00:00:00.000000000,Daily
4137,33 days 00:00:00.000000000,Daily
4138,731 days 00:00:00.000000000,Monthly
4144,1461 days 00:00:00.000000000,Monthly
4146,7305 days 00:00:00.000000000,Yearly
4148,1827 days 00:00:00.000000000,Yearly
4149,1158 days 00:00:00.000000000,Monthly
4151,40 days 00:00:00.000000000,Daily
4155,1795 days 00:00:00.000000000,Monthly
4158,974 days 00:00:00.000000000,Monthly
4159,609 days 00:00:00.000000000,Monthly
4160,4018 days 00:00:00.000000000,Yearly
4162,2373 days 00:00:00.000000000,Monthly
4163,14 days 00:00:00.000000000,Daily
4164,1765 days 00:00:00.000000000,Monthly
4165,1065 days 00:00:00.000000000,Monthly
4168,37 days 00:00:00.000000000,Daily
4169,5479 days 00:00:00.000000000,Yearly
4171,304 days 00:00:00.000000000,Monthly
4172,8401 days 00:00:00.000000000,Yearly
4173,3287 days 00:00:00.000000000,Yearly
4175,1372 days 00:00:00.000000000,Monthly
4177,2922 days 00:00:00.000000000,Yearly
4179,0 days 00:00:00.000000000,One Off
4181,28 days 00:00:00.000000000,Daily
4185,1400 days 00:00:00.000000000,Monthly
4187,26 days 00:00:00.000000000,Daily
4188,6210 days 00:00:00.000000000,Yearly
4189,8401 days 00:00:00.000000000,Yearly
4190,54 days 00:00:00.000000000,Daily
4192,0 days 00:00:00.000000000,One Off
4193,8 days 00:00:00.000000000,Daily
4194,0 days 00:00:00.000000000,One Off
4195,3 days 00:00:00.000000000,Daily
4197,0 days 00:00:00.000000000,One Off
4198,0 days 00:00:00.000000000,One Off
4200,1798 days 00:00:00.000000000,Monthly
4201,518 days 00:00:00.000000000,Monthly
4204,0 days 00:00:00.000000000,One Off
4205,52 days 00:00:00.000000000,Daily
4207,3288 days 00:00:00.000000000,Yearly
4210,50 days 00:00:00.000000000,Daily
4211,0 days 00:00:00.000000000,One Off
4212,9497 days 00:00:00.000000000,Yearly
4213,1338 days 00:00:00.000000000,Monthly
4215,37 days 00:00:00.000000000,Daily
4216,1887 days 00:00:00.000000000,Monthly
4218,2557 days 00:00:00.000000000,Monthly
4219,51 days 00:00:00.000000000,Daily
4224,1096 days 00:00:00.000000000,Yearly
4233,9497 days 00:00:00.000000000,Yearly
4236,1461 days 00:00:00.000000000,Monthly
4237,22 days 00:00:00.000000000,Daily
4238,7305 days 00:00:00.000000000,Yearly
4239,974 days 00:00:00.000000000,Monthly
4241,3652 days 00:00:00.000000000,Yearly
4249,518 days 00:00:00.000000000,Monthly
4251,0 days 00:00:00.000000000,One Off
4256,0 days 00:00:00.000000000,One Off
4257,8766 days 00:00:00.000000000,Yearly
4258,43 days 00:00:00.000000000,Daily
4261,20 days 00:00:00.000000000,Daily
4263,699 days 00:00:00.000000000,Monthly
4264,6209 days 00:00:00.000000000,Yearly
4265,34 days 00:00:00.000000000,Daily
4266,45 days 00:00:00.000000000,Daily
4269,1461 days 00:00:00.000000000,Yearly
4271,5844 days 00:00:00.000000000,Yearly
4272,4383 days 00:00:00.000000000,Yearly
4273,15 days 00:00:00.000000000,Daily
4275,0 days 00:00:00.000000000,One Off
4277,9131 days 00:00:00.000000000,Yearly
4278,31 days 00:00:00.000000000,Daily
4280,23 days 00:00:00.000000000,Daily
4282,8036 days 00:00:00.000000000,Yearly
4283,0 days 00:00:00.000000000,One Off
4284,0 days 00:00:00.000000000,One Off
4285,1767 days 00:00:00.000000000,Monthly
4286,41 days 00:00:00.000000000,Daily
4287,945 days 00:00:00.000000000,Monthly
4288,52 days 00:00:00.000000000,Daily
4290,0 days 00:00:00.000000000,One Off
4293,6940 days 00:00:00.000000000,Yearly
4294,1978 days 00:00:00.000000000,Monthly
4296,6575 days 00:00:00.000000000,Yearly
4297,9131 days 00:00:00.000000000,Yearly
4299,12 days 00:00:00.000000000,Daily
4302,1703 days 00:00:00.000000000,Monthly
4303,0 days 00:00:00.000000000,One Off
4305,6939 days 00:00:00.000000000,Yearly
4306,1675 days 00:00:00.000000000,Monthly
4308,1826 days 00:00:00.000000000,Yearly
4309,2222 days 00:00:00.000000000,Monthly
4311,1096 days 00:00:00.000000000,Yearly
4313,2161 days 00:00:00.000000000,Monthly
4314,455 days 00:00:00.000000000,Monthly
4315,5 days 00:00:00.000000000,Daily
4318,1156 days 00:00:00.000000000,Monthly
4320,5844 days 00:00:00.000000000,Yearly
4321,8766 days 00:00:00.000000000,Yearly
4322,25 days 00:00:00.000000000,Daily
4324,0 days 00:00:00.000000000,One Off
4334,49 days 00:00:00.000000000,Daily
4336,1096 days 00:00:00.000000000,Yearly
4338,790 days 00:00:00.000000000,Monthly
4341,8401 days 00:00:00.000000000,Yearly
4343,8766 days 00:00:00.000000000,Yearly
4346,0 days 00:00:00.000000000,One Off
4347,9132 days 00:00:00.000000000,Yearly
4348,245 days 00:00:00.000000000,Monthly
4354,1767 days 00:00:00.000000000,Monthly
4357,8401 days 00:00:00.000000000,Yearly
4358,6209 days 00:00:00.000000000,Yearly
4359,2922 days 00:00:00.000000000,Yearly
4360,24 days 00:00:00.000000000,Daily
4362,641 days 00:00:00.000000000,Monthly
4363,1795 days 00:00:00.000000000,Monthly
4364,5113 days 00:00:00.000000000,Yearly
4365,50 days 00:00:00.000000000,Daily
4366,16 days 00:00:00.000000000,Daily
4367,547 days 00:00:00.000000000,Monthly
4368,38 days 00:00:00.000000000,Daily
4369,2435 days 00:00:00.000000000,Monthly
4373,2314 days 00:00:00.000000000,Monthly
4375,1706 days 00:00:00.000000000,Monthly
4376,0 days 00:00:00.000000000,One Off
4378,2342 days 00:00:00.000000000,Monthly
4380,6574 days 00:00:00.000000000,Yearly
4386,0 days 00:00:00.000000000,One Off
4389,38 days 00:00:00.000000000,Daily
4391,1734 days 00:00:00.000000000,Monthly
4393,8400 days 00:00:00.000000000,Yearly
4394,1826 days 00:00:00.000000000,Yearly
4397,4017 days 00:00:00.000000000,Yearly
4399,8766 days 00:00:00.000000000,Yearly
4400,3287 days 00:00:00.000000000,Yearly
4405,0 days 00:00:00.000000000,One Off
4407,6575 days 00:00:00.000000000,Yearly
4409,1826 days 00:00:00.000000000,Yearly
4410,2192 days 00:00:00.000000000,Yearly
4414,28 days 00:00:00.000000000,Daily
4415,4383 days 00:00:00.000000000,Yearly
4417,0 days 00:00:00.000000000,One Off
4418,153 days 00:00:00.000000000,One Off
4419,48 days 00:00:00.000000000,Daily
4421,1095 days 00:00:00.000000000,Yearly
4426,8 days 00:00:00.000000000,Daily
4427,4018 days 00:00:00.000000000,Yearly
4428,0 days 00:00:00.000000000,One Off
4429,10592 days 00:00:00.000000000,Yearly
4430,943 days 00:00:00.000000000,Monthly
4433,8035 days 00:00:00.000000000,Yearly
4436,912 days 00:00:00.000000000,Monthly
4437,0 days 00:00:00.000000000,One Off
4438,49 days 00:00:00.000000000,Daily
4441,26 days 00:00:00.000000000,Daily
4442,6209 days 00:00:00.000000000,Yearly
4443,2130 days 00:00:00.000000000,Monthly
4444,1826 days 00:00:00.000000000,Yearly
4446,2344 days 00:00:00.000000000,Monthly
